H	2	1024	"2019-04-01 18:11:55"	60	7.09
679	5
680	7
681	6
682	5
683	6
684	5
685	8
686	5
687	9
688	5
689	6
690	6
691	19
692	14
693	10
694	5
695	21
696	10
697	11
698	12
699	12
700	13
701	12
702	10
703	24
704	23
705	22
706	18
707	25
708	27
709	28
710	26
711	42
712	31
713	37
714	36
715	29
716	36
717	38
718	43
719	42
720	42
721	36
722	47
723	41
724	25
725	47
726	41
727	36
728	35
729	36
730	36
731	26
732	31
733	28
734	24
735	15
736	13
737	24
738	20
739	17
740	11
741	17
742	12
743	12
744	8
745	6
746	9
747	2
748	5
749	6
750	2
751	7
752	2
753	1
754	2
755	1
756	1
757	0
758	3
759	0
760	1
761	1
762	2
763	2
764	3
765	2
766	1
767	0
768	0
769	1
770	1
771	1
772	4
773	4
774	1
775	2
776	0
777	0
778	3
779	0
780	2
781	1
782	2
783	3
784	2
785	4
786	2
787	1
788	2
789	1
790	1
791	1
792	2
793	2
794	1
795	0
796	0
797	2
798	0
799	1
800	1
801	1
802	2
803	2
804	3
805	1
806	2
807	0
808	3
809	1
810	0
811	0
812	0
813	1
814	1
815	1
816	2
817	0
818	2
819	2
820	1
821	2
822	1
823	1
824	0
825	0
826	2
827	4
828	0
829	0
830	0
831	1
832	1
833	2
834	3
835	1
836	4
837	2
838	1
839	3
840	1
841	1
842	0
843	1
844	3
845	1
846	1
847	2
848	1
849	0
850	2
851	1
852	1
853	1
854	1
855	1
856	2
857	1
858	0
859	0
860	3
861	0
862	2
863	1
864	0
865	2
866	0
867	1
868	2
869	2
870	0
871	0
872	0
873	1
874	2
875	0
876	1
877	0
878	1
879	0
880	0
881	2
882	0
883	0
884	1
885	0
886	1
887	2
888	0
889	1
890	0
891	0
892	1
893	0
894	0
895	1
896	2
897	0
898	0
899	0
900	1
901	1
902	0
903	0
904	0
905	0
906	0
907	3
908	0
909	0
910	0
911	0
912	1
913	2
914	1
915	0
916	0
917	2
918	1
919	0
920	1
921	2
922	0
923	1
924	1
925	1
926	1
927	1
928	0
929	2
930	1
931	2
932	0
933	1
934	0
935	0
936	0
937	0
938	0
939	0
940	0
941	0
942	0
943	0
944	1
945	0
946	1
947	0
948	0
949	1
950	0
951	3
952	0
953	0
954	0
955	0
956	0
957	1
958	0
959	1
960	0
961	0
962	0
963	1
964	1
965	0
966	0
967	0
968	0
969	0
970	0
971	0
972	0
973	0
974	0
975	0
976	0
977	0
978	0
979	0
980	0
981	0
982	1
983	0
984	0
985	0
986	1
987	0
988	0
989	1
990	0
991	1
992	0
993	2
994	0
995	1
996	1
997	0
998	1
999	0
1000	0
1001	1
1002	1
1003	0
1004	1
1005	1
1006	0
1007	0
1008	0
1009	0
1010	0
1011	1
1012	2
1013	0
1014	1
1015	0
1016	1
1017	0
1018	0
1019	0
1020	0
1021	0
1022	0
1023	0
